Badge.YourPostFavouritedTenTimes.Desc,
Confirmation.DeleteMembersPosts,
Date.OneMinuteAgo,1分钟前
PM.MessageSubject,
Search.NoResults,
Post.VoteDown,
Badge.TheGrouch.Name,
Favourites.PageTitle,我喜欢的内容
Layout.Nav.Logon,
Report.Admin,管理员
PM.AboutToExceedInboxSizeBody,
PM.Block,
LogOn.LogOn,
Post.Reply,
TinyMCE.InsertImage.LabelUploadImage,
Post.Permalink,到此处的链接
Members.NowBanned,
Activity.UserAwardedBadge,
Badge.UnknownBadge,
Layout.Nav.Register,
Rss.Category.Description,
Members.ResetPassword.EmailText,
Layout.Nav.Admin,管理界面
Layout.Nav.Utilities,
PM.TalkToSelf,
Members.ForgotPassword.SuccessMessage,
Members.SrubAndBan,
Stats.LatestMembers,最近登陆用户
Activity.ActivityTitle,
Badges.AwardsPoints,
SubscribedCats.NothingToShow,你没有关注任何类别
PM.ShowMore,
Post.Points,
Members.MemberEmailAuthorisationNeeded,
Members.LogOnMessage,请输入你的用户名和密码，或者 {0} 你没有一个账号
Members.MemberEmailAuthorisationResend,
Members.NowRegisteredNeedApproval,
Topic.TitleFallBack,
Members.Profile.Location,位置
SubscribedTopics.NothingToShow,你没有关注任何话题
Side.Search,搜索
Members.Label.EmailAddress,邮箱
Members.MemberEmailAuthorisationNeededMessage,
PM.ReceivedItemsOverCapcity,
Post.Posts,
Badge.Padawan.Name,
PM.UnableFindMember,
Confirmation.SrubAndBan,
Error.WrongAnswerRegistration,
Leaderboard.LeaderboardTitle,
PostEdit.OriginalVersion,
Members.Label.UserIsApproved,
Badge.AuthorMarkAsSolution.Name,
Post.DeleteConfirmation,
TermsAndConditions.Label.AgreeError,
Report.PostReport,
PM.Read,
PM.SentItemsOverCapcity,
Post.Notification.NewPosts,
Members.DateJoined,加入时间
Topic.Views,浏览过
Topic.Subscribe,关注
Members.ChangePassword.Title,
Members.ForgotPassword.Email,
Category.AllCategories,所有类别
Category.NoDiscussions,
PostFilter.Votes,
Following.Topics,关注的话题
Members.Profile.LastOnline,最后上线时间
Poll.Button.Remove,
Date.JustNow,刚才
Members.UnBanUser,
Members.Profile.IsSocialAccount,
Language.Change,
Members.EditMember,
Microsoft.Error.EnabledButNotAddedKeys,
SubNav.Latest,最新
Post.PleaseWait,
Post.Move.PostTitle,
Topic.PollClosed,
Post.Quote,引用
Members.LoginOrText,
Side.Search.Go,搜索
Topic.Deleted,
Rss.LatestActivity.Description,
Members.CantUnlock,
PM.AboutToExceedInboxSizeSubject,
Post.Options,
PM.NewPrivateMessageBody,
Members.ChangePassword.Text,
Moderate.Posts,
Favourites.NoMemberFavourites,你没有喜欢任何回复
PM.SentPrivateMessages,
Members.ResetPassword.InvalidToken,
Error.EmailIsBanned,
Post.Favourited,
Search.Results,
Topic.StartedBy,{0} 由 {1} 发起
Moderate.Topics,
Leaderboard.ThisYearsStars,
Members.ProfileTitle,
File.SuccessfullyDeleted,
Topic.Choose,
Category.CategoriesSideHeading,类别
Members.Register,
Badge.UserVoteUp.Desc,
Post.VotedDown,
Topic.Category,类别
Members.LogonGoogleButton,
Report.PostReported,
Poll.Button.Vote,
Post.VoteUp,
Language.Changed,
Ajax.PleaseWait,加载中
Topic.CreateDiscussion,创建话题
Members.Errors.InvalidEmail,
PM.Title,
Post.Move.Description,
PostFilter.Newest,
TinyMCE.InsertImage.SelectFile,
Topic.TagThisTopic,
PM.ReceivedPrivateMessages,私信
Members.NowLoggedOut,
Badge.Photogenic.Name,
Members.NowUnBanned,
Badge.YourPostFavouritedTenTimes.Name,
PostFilter.OrderBy,
Badge.BadegEnumNoClass,
Category.SubCategoriesHeading,
Badge.UserVoteUp.Name,
Post.AttachedFiles,
Members.NowApproved,
Members.Profile.Twitter,
Members.NowRegistered,
Topic.DiscussionTaggedWith,
Members.EditProfile,修改信息
Post.VotedUp,
Topic.ShowMorePostsLoading,
Report.MemberReport,
Facebook.Error.EnabledButNotAddedKeys,
Notification.Subscribe,关注
Date.WeeksAgo,{0} 周前
Post.Label.IsStickyTopic,
PM.LastActivity,
SubNav.Following,关注
Members.MemberEmailAuthorisation.Subject,
Members.Profile.Points,积分
Topic.IsPoll,
Topic.LatestBy,最新
Topic.Label.PollCloseAfterDays,
Activity.Badge,
Members.Label.Location,位置
Topic.Votes,
Search.Searching,
Report.ReportSent,
Members.Label.ConfirmNewPassword,确认新密码
Date.HoursAgo,{0} 小时前
Rss.Category.Title,{0} 个讨论
Post.Edit,编辑
Moderate.NothingHere,
Member.ProfileUpdated,
Members.Label.Password,密码
Members.Label.UploadNewAvatar,上传新头像
Post.Deleted,
Members.SuccessfulSrub,
Badge.YourPostFavourited.Desc,
PM.Reply,
Members.BanUser,
Members.ChangePassword.Error,
Points.ThisWeeksHighEarners,
Badges.PageTitle,
Members.Label.Website,网站
Members.LogonFacebookButton,
PM.Send,
PM.Delete,
Members.Errors.UserNotApproved,
Topic.Label.UploadFiles,上传文件
Post.Browse,选择
Topic.Label.Category,类别
Leaderboard.ThisWeeksStars,
Layout.PoweredBy,
Layout.Nav.Activity,
Members.ChangePassword.Success,
Post.Label.LockTopic,
Tasks.MarkAsSolutionReminderJob.EmailBody,
Members.Label.Comment,
PM.SendingToQuickly,
Members.NewMemberRegistered,
Members.UnableToGetEmailAddress,
Post.LastEdited,
Members.Profile.Posts,发帖数
Post.IsSolution,解决了？
Buttons.Send,发送
Site.MvcForum,
Members.ForgotPassword.Title,
Errors.NoPermission,
Topic.LastPost,最后回复
PostEdit.Panel.Name,
Topic.UnSubscribe,取消关注
PM.ShowMoreLoading,
Topic.Comment,
Post.PostedThis,回复
PostEdit.EditedVersion,
LogOn.LogOff,登出
Members.Label.Age,年龄
Poll.Button.Create,
Topic.IsSticky,
PostedIn.PageTitle,与你有关的话题和回复
TinyMCE.InsertImage.ExternalImage,
Post.Delete,删除
Members.Errors.InvalidPassword,
Report.ReportPostBy,
Date.DaysAgo,{0} 天前
Buttons.Search,搜索
Members.Profile.Joined,注册时间
PM.Subject,
Post.Upload,
TinyMCE.InsertImage.OnlyImages,
Members.Profile.Website,网站
Post.Move.Label.Topic,
Badge.PostMentionsUmbraco.Desc,
Tags.PopularTags,标签.热门标签
Badge.Padawan.Desc,
Members.Errors.InvalidQuestion,
PM.NoMessages,没有私信
Topic.Notification.Subject,
Moderate.AwaitingModeration,
Layout.CreateButton,创建话题
Google.Error.EnabledButNotAddedKeys,
PM.RecipientUsername,
Badge.PostMentionsUmbraco.Name,
Badge.AuthorMarkAsSolution.Desc,
Post.Move.Label.NewTopicTitle,
PM.Date,
Members.DeleteAllPosts,
Report.MemberReported,
Post.Notification.Subject,
TinyMCE.InsertImage.ButtonClose,
Post.LikedBy,
Report.Report,
PM.MemberIsOnline,
Members.SearchMembers,搜索用户
Buttons.ChangePassword,修改密码
PM.PrivateMessages,
PM.CreatePrivateMessage,
Members.Profile.Age,年龄
TinyMCE.InsertImage.EnterValidUrl,
Side.Search.SearchFor,你想搜索的内容
PM.NewPrivateMessage,
Topic.InCategory,
PM.BlockedMessage,
Twitter.Error.EnabledButNotAddedKeys,
Members.Profile.Facebook,
PM.MessageSent,
Stats.FooterMainStatText,我们 {0} 位成员 讨论 {1} 次 在 {2} 个讨论中
Members.Label.NewPassword,新密码
Badge.TheGrouch.Desc,
Date.Yesterday,昨天
Date.OneHourAgo,1小时前
Post.UploadBannedFileExtension,
Buttons.Continue,继续
PostEdit.None,
Home.LatestDiscussions,
PostFilter.Standard,
Topic.ShowMorePosts,
Badge.MemberForAYear.Name,
StopWord.Error,
Layout.Nav.Badges,
Topic.CommentsDetails,回复
Badge.Photogenic.Desc,
Members.Errors.UserRejected,
TermsAndConditions.PageTitle,
Post.ReplyingTo,
Buttons.CreatePost,回复
Topic.Label.SubscribeToTopic,是否在得到回复后通知？
Badge.PosterVoteUp.Name,
Badge.PosterVoteUp.Desc,
Members.ResetPassword.Error,
SubNav.PostedIn,有关
Notification.UnSubscribe,
PM.BackToInbox,
Badge.JediMaster.Name,
Members.NowLoggedIn,
PM.OriginalMessage,
Notifications.NoActiveMembers,
Members.Profile.Badges,徽章
Members.AlreadyRegistered,你是否已经注册过？
Badge.PosterMarkAsSolution.Name,
Topic.AlreadyAnswered,
PostEdit.EditedBy,
Stats.FooterActiveUsersText,在线用户
TinyMCE.InsertImage.ImageDescription,
Post.MemberIsOnline,在线
Moderate.Title,
Members.Label.Signature,
TinyMCE.InsertImage.ButtonOk,
Post.Move,移动
Rss.LatestActivity.Title,
Members.Errors.Unknown,
TinyMCE.InsertImage.MaxFileSize,
Members.Errors.ProviderError,
Member.HasNewPrivateMessages,
Topic.Comments,
Members.MessageMe,
Badge.OneThousandPoints.Desc,
Badge.FavouriteFirstPost.Name,
Badge.OneThousandPoints.Name,
Buttons.ResetPassword,重置密码
Home.Rss,
Badge.MemberForAYear.Desc,
Members.Points,积分
Badge.YourPostFavourited.Name,
Buttons.Save,保存
TermsAndConditions.Label.Agree,
Members.ForgotPassword.ErrorMessage,
Topic.Notification.NewTopics,
Members.Label.ConfirmPassword,确认密码
Following.PageTitle,
Members.Label.Twitter,
Buttons.LogOn,登录
Members.ChangePassword.Link,
Members.Errors.LogonGeneric,
Post.UploadFileTooBig,
PM.From,
Following.Categories,关注的类别
Members.Errors.UserLockedOut,
Report.Reporter,
Badges.UnableToAward,
Errors.GenericMessage,
Topic.IsSolved,
Post.Updated,
Admin,管理员
Post.Label.TopicName,
Errors.NoPermissionPolls,
Members.Label.Users,用户
Post.Attach,编辑
Members.Label.Roles,
Members.ForgotPassword.Link,
Layout.Nav.Home,
PM.Create,
Post.Favourite,
Moderate.NavText,
Members.Errors.InvalidAnswer,
Topic.Label.TopicTitle,标题
Members.Label.DateJoined,加入时间
Topic.OptionsHeading,
Members.MemberEmailAuthorisation.EmailBody,
Topic.IsLocked,
PM.Sent,
Members.ResetPassword.Text,
Members.Admin,管理员
Members.Label.DisableEmailNotifications,
Members.Errors.DuplicateUserName,
Poll.Placeholder.TypeAnswerHere,
Post.Move.Label.ReplyToPosts,
Topic.HotTopics,热门话题
Members.Profile.DiscussionActivity,最近讨论
PM.Blocked,
Members.Label.Facebook,
Tasks.MarkAsSolutionReminderJob.Subject,
Members.ResetPassword.Title,
Badge.FavouriteFirstPost.Desc,
Members.Users,用户名
Errors.NoAccess,
Post.label.TopicCategory,
Members.Errors.DuplicateEmail,
Report.Reason,
Category.MostRecent,最新：
Search.InTopic,
Members.Errors.InvalidUserName,
PM.NewPrivateMessageSubject,
Members.LogonMicrosoftButton,
Errors.NothingToDisplay,
PM.To,
SubNav.Favourites,喜欢
Members.Label.EmailAddressBlank,
Members.Errors.PasswordIncorrect,
SlidePanel.CloseConfirmation,
TinyMCE.InsertImage.ButtonTitle,
Post.Report,
Members.Label.Username,用户名
Post.OthersLiked,
Activity.UserJoined,
Badge.PosterMarkAsSolution.Desc,
Members.Errors.PasswordAttemptsExceeded,
Post.FilesUploaded,
Topic.Label.Tags,标签
Date.MinutesAgo,{0} 分钟前
Members.ResetPassword.SuccessText,
Badge.JediMaster.Desc,
SideBox.MyTools,功能
Buttons.Edit,编辑信息
TinyMCE.InsertImage.Browse,
Members.Label.CurrentPassword,
Buttons.Report,
Members.Label.RememberMe,
Members.ForgotPassword.Subject,
Editor.NeedHelp,
Activity.ProfileUpdated,
Layout.Nav.Leaderboard,
Members.NewMemberSubject,
